Day 6 | Day 5 | Name             | TS | W - L | Updated | Lifeforce
51    | 69    | Weebs            | 5  | 5 - 1 | Yes     | 17,750,010
52    | 79    | Destiny          | 3  | 5 - 1 | Yes     | 17,641,752
53    | 64    | AvocadoToast     | 7  | 5 - 1 | Yes     | 17,489,458
54    | 61    | Forget2Play      | 11  | 4 - 2 | Yes     | 17,372,783
55    | 82    | Nandos           | 1  | 4 - 2 | Yes     | 17,302,617
56    | 113   | 뉴비               | 12  | 4 - 2 | Yes     | 17,133,712
57    | 94    | 문제아              | 13  | 4 - 2 | Yes     | 17,049,857
58    | 36    | SINoABBY         | 8  | 4 - 2 | Yes     | 17,034,085
59    | 78    | Revive           | 8  | 4 - 2 | Yes     | 16,979,214
60    | 81    | TheNut           | 8  | 4 - 2 | Yes     | 16,945,091
61    | 77    | Pariah           | 4  | 4 - 2 | Yes     | 16,852,616
62    | 114   | UmaruLand        | 8  | 4 - 2 | Yes     | 16,681,785
63    | 46    | FTRAP            | 1  | 3 - 3 | Yes     | 16,669,098
64    | 96    | Hollow           | 10  | 4 - 2 | Yes     | 16,648,733
65    | 43    | Realm            | 4  | 4 - 2 | Yes     | 16,521,433
66    | 108   | Gods             | 7  | 4 - 2 | Yes     | 16,357,013
67    | 116   | 한국산흑우단           | 12  | 4 - 2 | Yes     | 16,328,757
68    | 80    | Chronicles       | 1  | 3 - 3 | Yes     | 16,326,480
69    | 100   | Chronos          | 2  | 5 - 1 | Yes     | 16,283,617
70    | 42    | 즐거운우리집           | 13  | 4 - 2 | Yes     | 16,236,043
71    | 110   | mEmE             | 11  | 4 - 2 | Yes     | 16,123,976
72    | 140   | Oblivion         | 5  | 4 - 2 | Yes     | 16,110,994
73    | 55    | FullMoonCafe     | 6  | 4 - 2 | Yes     | 16,093,919
74    | 124   | JustUsFrogsAgain | 4  | 4 - 2 | Yes     | 16,090,134
75    | 90    | Nyaaa            | 9  | 4 - 2 | Yes     | 16,035,812
76    | 166   | KAIJU            | 8  | 4 - 2 | Yes     | 15,990,383
77    | 58    | Ogygia           | 1  | 4 - 2 | Yes     | 15,945,630
78    | 107   | 블랙소울             | 13  | 5 - 1 | Yes     | 15,945,308
79    | 86    | 만사귀찮             | 1  | 5 - 1 | Yes     | 15,899,975
80    | 156   | Belial           | 8  | 4 - 2 | Yes     | 15,886,333
81    | 71    | #1InTimeslot     | 4  | 3 - 3 | Yes     | 15,812,418
82    | 49    | 『MR』             | 9  | 4 - 2 | Yes     | 15,713,714
83    | 155   | Elysium          | 4  | 4 - 2 | Yes     | 15,636,511
84    | 143   | Arroz            | 6  | 4 - 2 | Yes     | 15,566,782
85    | 121   | UnitalRing       | 10  | 4 - 2 | Yes     | 15,564,597
86    | 142   | [_]              | 3  | 4 - 2 | Yes     | 15,532,312
87    | 98    | YoRha            | 5  | 5 - 1 | Yes     | 15,452,383
88    | 169   | Vroom            | 11  | 4 - 2 | Yes     | 15,311,422
89    | 115   | Dream            | 9  | 4 - 2 | Yes     | 15,235,674
90    | 152   | OuRHa            | 6  | 4 - 2 | Yes     | 15,218,466
91    | 56    | Fantasy          | 8  | 4 - 2 | Yes     | 15,153,564
92    | 177   | Liquid           | 10  | 4 - 2 | Yes     | 15,088,688
93    | 135   | Reunion          | 4  | 4 - 2 | Yes     | 15,085,577
94    | 150   | Moogles          | 6  | 4 - 2 | Yes     | 15,049,197
95    | 130   | Kali             | 5  | 5 - 1 | Yes     | 15,017,583
96    | 168   | Rapture          | 4  | 4 - 2 | Yes     | 15,015,623
97    | 51    | Tartarus         | 8  | 4 - 2 | Yes     | 14,997,654
98    | 205   | 영원               | 12  | 4 - 2 | Yes     | 14,988,186
99    | 125   | Stellar          | 13  | 5 - 1 | Yes     | 14,987,768
100   | 157   | BeAsG0Ds         | 5  | 5 - 1 | Yes     | 14,883,734
101   | 175   | Uncharted        | 5  | 4 - 2 | Yes     | 14,874,363
102   | 189   | Alliance         | 9  | 4 - 2 | Yes     | 14,839,900
103   | 68    | Astryx           | 8  | 3 - 3 | Yes     | 14,797,785
104   | 159   | 의미               | 11  | 5 - 1 | Yes     | 14,795,481
105   | 210   | Quebec           | 6  | 3 - 3 | Yes     | 14,745,838
106   | 57    | KokoDayo         | 5  | 4 - 2 | Yes     | 14,743,724
107   | 87    | Canceled         | 9  | 3 - 3 | Yes     | 14,715,945
108   | 133   | Birbs            | 5  | 4 - 2 | Yes     | 14,706,219
109   | 60    | MilkVoid         | 9  | 3 - 3 | Yes     | 14,641,412
110   | 63    | Abhorsen         | 7  | 4 - 2 | Yes     | 14,621,629
111   | 171   | Materia          | 8  | 4 - 2 | Yes     | 14,586,418
112   | 183   | LammyCult        | 9  | 5 - 1 | Yes     | 14,578,109
113   | 119   | Everlasting      | 6  | 3 - 3 | Yes     | 14,495,582
114   | 59    | Encore           | 13  | 4 - 2 | Yes     | 14,460,622
115   | 162   | ♥80%Ⓔ-Giℝℓs♥     | 10  | 4 - 2 | Yes     | 14,456,798
116   | 95    | =(               | 7  | 3 - 3 | Yes     | 14,453,802
117   | 182   | Phantoms         | 2  | 4 - 2 | Yes     | 14,403,682
118   | 187   | VanitaS          | 3  | 4 - 2 | Yes     | 14,401,060
119   | 148   | /rope/           | 9  | 4 - 2 | Yes     | 14,369,075
120   | 238   | 냥냥펀치             | 13  | 4 - 2 | Yes     | 14,367,855
121   | 196   | Chaos            | 10  | 4 - 2 | Yes     | 14,358,078
122   | 181   | [Not]Eternia     | 9  | 5 - 1 | Yes     | 14,341,939
123   | 92    | Roanapur         | 12  | 4 - 2 | Yes     | 14,318,961
124   | 131   | Phantagasm       | 10  | 4 - 2 | Yes     | 14,309,595
125   | 72    | Harmony          | 4  | 4 - 2 | Yes     | 14,300,316
126   | 76    | Divine           | 9  | 4 - 2 | Yes     | 14,269,068
127   | 146   | ㄴㄱ               | 7  | 4 - 2 | Yes     | 14,226,701
128   | 161   | AlmondMilk       | 13  | 4 - 2 | Yes     | 14,211,143
129   | 66    | Vesto            | 5  | 3 - 3 | Yes     | 14,208,478
130   | 93    | Wall-Nut         | 9  | 4 - 2 | Yes     | 14,205,758
131   | 62    | Starry           | 10  | 4 - 2 | Yes     | 14,199,077
132   | 228   | RosaGigantea     | 8  | 4 - 2 | Yes     | 14,176,223
133   | 127   | Malice           | 7  | 4 - 2 | Yes     | 14,172,531
134   | 144   | Hellions         | 4  | 5 - 1 | Yes     | 14,156,842
135   | 104   | Yozora           | 6  | 4 - 2 | Yes     | 14,126,047
136   | 67    | FinalAct         | 10  | 4 - 2 | Yes     | 14,125,739
137   | 199   | Tempest          | 12  | 5 - 1 | Yes     | 14,102,671
138   | 112   | 마굿간              | 13  | 4 - 2 | Yes     | 14,084,169
139   | 217   | owo7             | 13  | 3 - 3 | Yes     | 14,075,274
140   | 191   | Neko★彡彡          | 13  | 3 - 3 | Yes     | 14,052,754
141   | 139   | SANCTUM          | 5  | 3 - 3 | Yes     | 14,023,955
142   | 221   | 밤하늘              | 1  | 4 - 2 | Yes     | 14,023,370
143   | 202   | Puzzles          | 9  | 4 - 2 | Yes     | 13,991,840
144   | 70    | Salvation™       | 5  | 4 - 2 | Yes     | 13,918,237
145   | 102   | ButStillNotKeto  | 7  | 4 - 2 | Yes     | 13,892,356
146   | 174   | Eclipse          | 7  | 4 - 2 | Yes     | 13,889,851
147   | 222   | Faustian         | 7  | 4 - 2 | Yes     | 13,867,192
148   | 218   | HupGuard         | 5  | 4 - 2 | Yes     | 13,833,036
149   | 73    | Wu               | 9  | 3 - 3 | Yes     | 13,829,461
150   | 106   | GranWing         | 5  | 4 - 2 | Yes     | 13,816,852
151   | 74    | Solis            | 5  | 4 - 2 | Yes     | 13,807,367
152   | 245   | Imperial         | 7  | 4 - 2 | Yes     | 13,781,175
153   | 122   | Punny            | 7  | 4 - 2 | Yes     | 13,752,327
154   | 137   | Typhon           | 9  | 3 - 3 | Yes     | 13,732,062
155   | 226   | PHAEDRA          | 10  | 4 - 2 | Yes     | 13,708,535
156   | 262   | Athenaeum        | 6  | 4 - 2 | Yes     | 13,707,563
157   | 263   | Abyss            | 8  | 3 - 3 | Yes     | 13,705,998
158   | 256   | Aether           | 4  | 4 - 2 | Yes     | 13,700,979
159   | 88    | ƔϵևՁɠɠ           | 13  | 4 - 2 | Yes     | 13,690,670
160   | 212   | Elkia            | 1  | 4 - 2 | Yes     | 13,669,542
161   | 101   | Aether           | 8  | 4 - 2 | Yes     | 13,669,187
162   | 136   | VeXille          | 4  | 3 - 3 | Yes     | 13,638,386
163   | 247   | La_Secte         | 5  | 4 - 2 | Yes     | 13,636,558
164   | 84    | Revive20SP       | 4  | 4 - 2 | Yes     | 13,633,745
165   | 120   | Marigold         | 5  | 4 - 2 | Yes     | 13,610,438
166   | 260   | Pequod           | 4  | 4 - 2 | Yes     | 13,569,780
167   | 97    | WeebLand         | 2  | 4 - 2 | Yes     | 13,557,859
168   | 253   | 765Pro           | 4  | 4 - 2 | Yes     | 13,536,579
169   | 286   | Hopeless         | 8  | 4 - 2 | Yes     | 13,496,664
170   | 99    | Pekoland         | 1  | 3 - 3 | Yes     | 13,483,336
171   | 275   | WildHunt         | 6  | 4 - 2 | Yes     | 13,478,199
172   | 197   | WildRose         | 8  | 4 - 2 | Yes     | 13,476,107
173   | 224   | Carmesí          | 9  | 4 - 2 | Yes     | 13,474,237
174   | 83    | mnemonic         | 7  | 3 - 3 | Yes     | 13,456,722
175   | 91    | Elegy            | 10  | 3 - 3 | Yes     | 13,429,101
176   | 141   | Kyobo            | 4  | 3 - 3 | Yes     | 13,429,058
177   | 200   | 카레맛집             | 12  | 4 - 2 | Yes     | 13,411,701
178   | 85    | Enigami          | 12  | 3 - 3 | Yes     | 13,380,004
179   | 236   | [Blank]          | 5  | 4 - 2 | Yes     | 13,314,978
180   | 103   | Maple            | 10  | 4 - 2 | Yes     | 13,314,243
181   | 165   | X̷I̷I̷I̷         | 7  | 4 - 2 | Yes     | 13,286,801
182   | 243   | ClammyClam       | 5  | 3 - 3 | Yes     | 13,269,214
183   | 278   | Schwert          | 10  | 4 - 2 | Yes     | 13,235,514
184   | 134   | Choten           | 6  | 3 - 3 | Yes     | 13,235,063
185   | 186   | Lunar日食          | 8  | 4 - 2 | Yes     | 13,230,733
186   | 207   | 14vs1            | 1  | 4 - 2 | Yes     | 13,217,397
187   | 214   | MilkTea自         | 1  | 4 - 2 | Yes     | 13,192,581
188   | 250   | Tiramisu         | 8  | 3 - 3 | Yes     | 13,178,611
189   | 185   | Lucky            | 1  | 5 - 1 | Yes     | 13,161,676
190   | 149   | 히사시부리            | 12  | 3 - 3 | Yes     | 13,150,240
191   | 89    | Cirque           | 9  | 3 - 3 | Yes     | 13,126,007
192   | 271   | TRIAD            | 13  | 5 - 1 | Yes     | 13,122,073
193   | 111   | GrandSouls       | 10  | 4 - 2 | Yes     | 13,098,849
194   | 126   | Corosars         | 1  | 3 - 3 | Yes     | 13,085,842
195   | 153   | OrcinusOrca      | 7  | 3 - 3 | Yes     | 13,066,118
196   | 299   | .Manica.         | 4  | 3 - 3 | Yes     | 13,022,821
197   | 249   | Sleepless        | 10  | 4 - 2 | Yes     | 13,014,263
198   | 170   | Lost_Cause       | 10  | 4 - 2 | Yes     | 12,984,094
199   | 322   | Luxuria          | 9  | 4 - 2 | Yes     | 12,973,146
200   | 105   | Pokédex          | 6  | 3 - 3 | Yes     | 12,968,044
201   | 321   | Mexicore         | 8  | 4 - 2 | Yes     | 12,962,166
202   | 117   | Amaranth         | 4  | 4 - 2 | Yes     | 12,956,164
203   | 215   | Void             | 7  | 4 - 2 | Yes     | 12,950,948
204   | 274   | AstessiaJC       | 13  | 3 - 3 | Yes     | 12,901,660
205   | 179   | ArkainaKore      | 8  | 3 - 3 | Yes     | 12,889,528
206   | 151   | SleepingAngels   | 10  | 4 - 2 | Yes     | 12,865,260
207   | 194   | Nazarick         | 3  | 4 - 2 | Yes     | 12,858,220
208   | 281   | TBC              | 6  | 4 - 2 | Yes     | 12,846,534
209   | 154   | 새벽               | 13  | 4 - 2 | Yes     | 12,829,226
210   | 241   | Cthuwu           | 10  | 4 - 2 | Yes     | 12,820,757
211   | 279   | PhantomTroupe    | 10  | 4 - 2 | Yes     | 12,811,472
212   | 252   | 신오앨리스            | 12  | 5 - 1 | Yes     | 12,806,889
213   | 176   | Homura炎          | 1  | 4 - 2 | Yes     | 12,794,094
214   | 227   | Precure          | 4  | 5 - 1 | Yes     | 12,792,891
215   | 310   | JuraForest       | 13  | 4 - 2 | Yes     | 12,780,088
216   | 292   | Defiance(｡･ω･｡)ﾉ | 11  | 3 - 3 | Yes     | 12,774,644
217   | 201   | Nameless         | 8  | 4 - 2 | Yes     | 12,724,526
218   | 266   | PowerUP          | 9  | 4 - 2 | Yes     | 12,723,814
219   | 109   | Darkness         | 7  | 4 - 2 | Yes     | 12,716,473
220   | 331   | Upupupu          | 8  | 3 - 3 | Yes     | 12,661,901
221   | 118   | Genocide         | 12  | 3 - 3 | Yes     | 12,624,771
222   | 178   | CrimsonTears     | 8  | 3 - 3 | Yes     | 12,601,852
223   | 248   | BadLuck          | 9  | 4 - 2 | Yes     | 12,572,674
224   | 145   | Dabbers          | 5  | 3 - 3 | Yes     | 12,552,678
225   | 375   | Avenoir          | 9  | 3 - 3 | Yes     | 12,547,492
226   | 269   | .·´✧Depora✧`·.   | 7  | 4 - 2 | Yes     | 12,517,638
227   | 348   | HoneyBunny       | 1  | 3 - 3 | Yes     | 12,490,050
228   | 363   | Nyantropy        | 10  | 4 - 2 | Yes     | 12,486,932
229   | 203   | Ichariba         | 1  | 3 - 3 | Yes     | 12,478,199
230   | 318   | Mjødhall         | 5  | 4 - 2 | Yes     | 12,466,754
231   | 319   | Echi_Di_CULtura  | 4  | 3 - 3 | Yes     | 12,460,571
232   | 268   | AlioRegnum       | 3  | 5 - 1 | Yes     | 12,445,729
233   | 132   | Another          | 8  | 3 - 3 | Yes     | 12,442,257
234   | 328   | 7Sins            | 5  | 4 - 2 | Yes     | 12,439,016
235   | 316   | 냥냥킥              | 12  | 4 - 2 | Yes     | 12,436,888
236   | 288   | Mistborn         | 5  | 4 - 2 | Yes     | 12,435,244
237   | 338   | Xoriat           | 9  | 4 - 2 | Yes     | 12,430,722
238   | 172   | Avarice          | 10  | 3 - 3 | Yes     | 12,417,880
239   | 129   | SinoLewd         | 10  | 3 - 3 | Yes     | 12,415,242
240   | 164   | GrimmNightmare   | 5  | 4 - 2 | Yes     | 12,379,634
241   | 123   | CaSINo           | 3  | 3 - 3 | Yes     | 12,377,735
242   | 184   | PlayWoW          | 13  | 3 - 3 | Yes     | 12,354,534
243   | 346   | Arcanum          | 4  | 4 - 2 | Yes     | 12,345,449
244   | 351   | ᴀsᴄᴇɴsɪᴏɴ        | 3  | 4 - 2 | Yes     | 12,333,386
245   | 213   | Happy            | 12  | 3 - 3 | Yes     | 12,325,339
246   | 320   | Ohanami          | 11  | 4 - 2 | Yes     | 12,253,844
247   | 158   | Nexus            | 9  | 4 - 2 | Yes     | 12,216,185
248   | 128   | Test             | 4  | 4 - 2 | Yes     | 12,187,021
249   | 380   | Caterus          | 7  | 4 - 2 | Yes     | 12,096,654
250   | 305   | Shade            | 6  | 4 - 2 | Yes     | 12,065,101
251   | 173   | KULTURE          | 9  | 3 - 3 | Yes     | 12,064,786
252   | 220   | Ikimasu          | 7  | 3 - 3 | Yes     | 12,058,999
253   | 364   | SoCal            | 9  | 3 - 3 | Yes     | 12,054,125
254   | 208   | Phantasmagoria   | 5  | 2 - 4 | Yes     | 12,046,106
255   | 160   | 잔향               | 12  | 3 - 3 | Yes     | 12,038,814
256   | 240   | Bananas          | 10  | 3 - 3 | Yes     | 12,036,605
257   | 138   | ♤♡Palace♧♢       | 1  | 3 - 3 | Yes     | 12,023,708
258   | 294   | Pantheon         | 11  | 3 - 3 | Yes     | 12,019,878
259   | 147   | Ecstasy          | 1  | 4 - 2 | Yes     | 11,978,451
260   | 335   | µ's              | 10  | 4 - 2 | Yes     | 11,933,003
261   | 163   | Axolotl生         | 8  | 4 - 2 | Yes     | 11,903,371
262   | 233   | Hazelnut         | 5  | 3 - 3 | Yes     | 11,882,979
263   | 295   | SunnyDay~        | 12  | 4 - 2 | Yes     | 11,877,096
264   | 403   | Panda            | 5  | 3 - 3 | Yes     | 11,850,761
265   | 339   | NoTale.F.A       | 5  | 4 - 2 | Yes     | 11,819,632
266   | 349   | RoyalKnights     | 8  | 5 - 1 | Yes     | 11,819,506
267   | 237   | Moonfall         | 4  | 3 - 3 | Yes     | 11,806,821
268   | 370   | RLC              | 13  | 4 - 2 | Yes     | 11,790,010
269   | 272   | Squids           | 10  | 3 - 3 | Yes     | 11,782,691
270   | 355   | bbt              | 10  | 4 - 2 | Yes     | 11,777,601
271   | 283   | Wisteria         | 7  | 4 - 2 | Yes     | 11,760,576
272   | 167   | Unseelie         | 8  | 4 - 2 | Yes     | 11,758,069
273   | 190   | HoloLive         | 12  | 4 - 2 | Yes     | 11,738,611
274   | 261   | Michi'sZombie    | 9  | 3 - 3 | Yes     | 11,731,333
275   | 378   | Space            | 8  | 4 - 2 | Yes     | 11,706,595
276   | 242   | DayDream         | 5  | 2 - 4 | Yes     | 11,703,518
277   | 438   | YssSG            | 12  | 4 - 2 | Yes     | 11,692,740
278   | 304   | Re:ℤer๏          | 9  | 4 - 2 | Yes     | 11,688,835
279   | 329   | Imperium         | 3  | 4 - 2 | Yes     | 11,688,742
280   | 330   | ꫛꫀꪝ✧‧˚           | 13  | 4 - 2 | Yes     | 11,666,426
281   | 188   | Otaku            | 9  | 4 - 2 | Yes     | 11,665,350
282   | 229   | SINcerity        | 5  | 3 - 3 | Yes     | 11,647,496
283   | 180   | EatPant2         | 10  | 4 - 2 | Yes     | 11,643,947
284   | 317   | Yaiba2.0         | 9  | 4 - 2 | Yes     | 11,566,834
285   | 424   | GrimHope         | 10  | 4 - 2 | Yes     | 11,563,675
286   | 401   | Libra            | 3  | 4 - 2 | Yes     | 11,543,575
287   | 309   | GrimTale         | 5  | 4 - 2 | Yes     | 11,530,098
288   | 411   | ☆☆LAZe☆☆         | 7  | 4 - 2 | Yes     | 11,519,993
289   | 206   | Lucklets         | 4  | 3 - 3 | Yes     | 11,498,204
290   | 301   | Bookstore        | 5  | 5 - 1 | Yes     | 11,481,989
291   | 383   | Pluggies         | 1  | 4 - 2 | Yes     | 11,480,362
292   | 417   | Cognatus         | 8  | 3 - 3 | Yes     | 11,476,164
293   | 387   | Niflheim         | 11  | 4 - 2 | Yes     | 11,471,867
294   | 211   | Eternum          | 8  | 3 - 3 | Yes     | 11,446,476
295   | 265   | MoguMogu         | 12  | 4 - 2 | Yes     | 11,437,670
296   | 280   | TheNorth         | 7  | 3 - 3 | Yes     | 11,426,038
297   | 386   | Freedom          | 12  | 4 - 2 | Yes     | 11,389,782
298   | 347   | Yharnam          | 7  | 4 - 2 | Yes     | 11,375,163
299   | 413   | MirrorOfFate     | 9  | 4 - 2 | Yes     | 11,346,825
300   | 468   | Espada           | 10  | 4 - 2 | Yes     | 11,343,014
301   | 391   | BLANKET          | 8  | 3 - 3 | Yes     | 11,332,119
302   | 405   | Marina           | 13  | 4 - 2 | Yes     | 11,327,622
303   | 450   | S.H.             | 6  | 4 - 2 | Yes     | 11,305,191
304   | 402   | Paywall          | 5  | 4 - 2 | Yes     | 11,299,514
305   | 435   | EndofPariah      | 5  | 3 - 3 | Yes     | 11,288,634
306   | 198   | iGod             | 6  | 3 - 3 | Yes     | 11,273,245
307   | 415   | TaroBoba         | 10  | 4 - 2 | Yes     | 11,268,701
308   | 302   | Coldbrew         | 13  | 3 - 3 | Yes     | 11,245,655
309   | 230   | Avantheim        | 13  | 3 - 3 | Yes     | 11,231,052
310   | 440   | DarkMoon         | 4  | 4 - 2 | Yes     | 11,229,841
311   | 231   | Slimemh-3-       | 9  | 3 - 3 | Yes     | 11,225,756
312   | 219   | Fables           | 10  | 4 - 2 | Yes     | 11,184,443
313   | 282   | Vesperia         | 7  | 3 - 3 | Yes     | 11,184,400
314   | 410   | OnceUpon         | 10  | 3 - 3 | Yes     | 11,171,528
315   | 434   | SectaDeLammy     | 8  | 4 - 2 | Yes     | 11,168,909
316   | 362   | Arialis          | 6  | 4 - 2 | Yes     | 11,166,297
317   | 193   | 디시인사이드           | 11  | 3 - 3 | Yes     | 11,156,283
318   | 306   | MilkGod          | 12  | 3 - 3 | Yes     | 11,151,126
319   | 225   | Rayearth         | 7  | 4 - 2 | Yes     | 11,150,926
320   | 192   | Memento          | 11  | 3 - 3 | Yes     | 11,127,971
321   | 195   | Noragami         | 4  | 3 - 3 | Yes     | 11,112,358
322   | 209   | Wormhole         | 6  | 4 - 2 | Yes     | 11,112,255
323   | 307   | Alabaster        | 9  | 3 - 3 | Yes     | 11,106,705
324   | 343   | Valhalla         | 6  | 4 - 2 | Yes     | 11,087,518
325   | 289   | Kyogen           | 5  | 4 - 2 | Yes     | 11,037,089
326   | 484   | Frans            | 8  | 3 - 3 | Yes     | 11,034,903
327   | 360   | Blank            | 5  | 4 - 2 | Yes     | 11,009,340
328   | 374   | RhodesID         | 12  | 4 - 2 | Yes     | 10,994,917
329   | 313   | Baguette         | 5  | 3 - 3 | Yes     | 10,974,680
330   | 234   | /sagg/           | 9  | 3 - 3 | Yes     | 10,955,645
331   | 452   | Sin              | 4  | 4 - 2 | Yes     | 10,937,210
332   | 257   | Genesis          | 8  | 4 - 2 | Yes     | 10,936,606
333   | 441   | Buffones         | 7  | 4 - 2 | Yes     | 10,917,249
334   | 273   | 코코는병아리           | 11  | 4 - 2 | Yes     | 10,917,177
335   | 204   | ꧁SnowSanctuary꧂  | 11  | 3 - 3 | Yes     | 10,913,619
336   | 398   | Meow             | 4  | 4 - 2 | Yes     | 10,902,131
337   | 426   | NeonBomb         | 8  | 4 - 2 | Yes     | 10,870,224
338   | 412   | FABLES           | 12  | 4 - 2 | Yes     | 10,868,008
339   | 448   | Halcyon          | 8  | 4 - 2 | Yes     | 10,858,610
340   | 393   | Alicization      | 13  | 4 - 2 | Yes     | 10,854,407
341   | 235   | Shikibu          | 9  | 3 - 3 | Yes     | 10,837,664
342   | 353   | Daybreak         | 13  | 3 - 3 | Yes     | 10,826,960
343   | 516   | OwO              | 12  | 3 - 3 | Yes     | 10,799,935
344   | 400   | DeadDemon        | 9  | 4 - 2 | Yes     | 10,797,615
345   | 337   | 【﻿ＢＬＩＮＫ】         | 11  | 2 - 4 | Yes     | 10,791,839
346   | 308   | Alter            | 9  | 3 - 3 | Yes     | 10,752,923
347   | 251   | BloodOath        | 1  | 3 - 3 | Yes     | 10,748,186
348   | 474   | Bullied          | 10  | 3 - 3 | Yes     | 10,747,436
349   | 277   | Draconic         | 1  | 2 - 4 | Yes     | 10,745,285
350   | 232   | OFFtopic         | 6  | 3 - 3 | Yes     | 10,745,260
351   | 431   | Bushido          | 9  | 4 - 2 | Yes     | 10,742,397
352   | 239   | ᴇᴠɪʟ☬ɢᴇɴɪᴜꜱᴇꜱ    | 7  | 3 - 3 | Yes     | 10,728,739
353   | 444   | Chaldea          | 3  | 4 - 2 | Yes     | 10,723,199
354   | 461   | PiKACHeW         | 1  | 4 - 2 | Yes     | 10,708,161
355   | 290   | HachikujiMayoi   | 6  | 3 - 3 | Yes     | 10,704,502
356   | 345   | KARMA            | 5  | 2 - 4 | Yes     | 10,693,458
357   | 507   | HEX              | 5  | 4 - 2 | Yes     | 10,692,529
358   | 216   | TakoYaki         | 13  | 3 - 3 | Yes     | 10,674,314
359   | 397   | Fatalis          | 1  | 4 - 2 | Yes     | 10,664,390
360   | 223   | Guardians        | 12  | 3 - 3 | Yes     | 10,650,001
361   | 258   | TeaCats          | 13  | 3 - 3 | Yes     | 10,632,032
362   | 407   | Salière          | 5  | 4 - 2 | Yes     | 10,631,261
